Model,Retrieval Type,Rerank,K,Precision@K,Sem.Coherence,Coverage,Diversity,Avg Trust,Avg Rating,Mall Ratio
TF-IDF,Lexical,✗,3,0.8144,0.4199,0.8815,0.5963,0.5968,4.9176,0.425
TF-IDF + Rerank,Lexical,✓,3,0.8057,0.4179,0.8697,0.6022,0.6184,4.9452,0.4684
SBERT,Dense Semantic,✗,3,0.8033,0.8291,0.8389,0.1717,0.5931,4.8796,0.4005
SBERT + Rerank,Dense Semantic,✓,3,0.8009,0.826,0.827,0.1774,0.6196,4.9494,0.4621
PhoBERT,Dense Semantic,✗,3,0.7796,0.9461,0.8412,0.046,0.6054,4.9021,0.44
PhoBERT + Rerank,Dense Semantic,✓,3,0.6833,0.9389,0.6848,0.0525,0.7088,4.9561,0.7046
Hybrid-SBERT,Hybrid-Lex+Dense,✗,3,0.8318,0.9298,0.8412,0.1582,0.5943,4.8893,0.41
Hybrid-SBERT + Rerank,Hybrid-Lex+Dense,✓,3,0.8286,0.9289,0.8365,0.1587,0.6019,4.921,0.4179
Hybrid-PhoBERT,Hybrid-Lex+Dense,✗,3,0.8002,0.9336,0.8578,0.1589,0.6003,4.9073,0.4336
Hybrid-PhoBERT + Rerank,Hybrid-Lex+Dense,✓,3,0.797,0.9327,0.8626,0.1626,0.6088,4.9303,0.4471
TF-IDF,Lexical,✗,5,0.7891,0.3832,0.9502,0.6395,0.5995,4.9125,0.4289
TF-IDF + Rerank,Lexical,✓,5,0.7796,0.3808,0.9336,0.6432,0.6243,4.9441,0.4844
SBERT,Dense Semantic,✗,5,0.7649,0.8133,0.9076,0.1893,0.5936,4.8826,0.4009
SBERT + Rerank,Dense Semantic,✓,5,0.7664,0.8107,0.9076,0.1916,0.6179,4.9478,0.4654
PhoBERT,Dense Semantic,✗,5,0.7517,0.9443,0.9076,0.051,0.6056,4.9028,0.4403
PhoBERT + Rerank,Dense Semantic,✓,5,0.6739,0.9391,0.7773,0.0542,0.6942,4.9586,0.6886
Hybrid-SBERT,Hybrid-Lex+Dense,✗,5,0.8109,0.9076,0.9123,0.1985,0.5962,4.8925,0.4142
Hybrid-SBERT + Rerank,Hybrid-Lex+Dense,✓,5,0.8114,0.907,0.9123,0.197,0.6014,4.912,0.4223
Hybrid-PhoBERT,Hybrid-Lex+Dense,✗,5,0.7791,0.9136,0.9194,0.2004,0.6053,4.9126,0.4445
Hybrid-PhoBERT + Rerank,Hybrid-Lex+Dense,✓,5,0.7801,0.913,0.91,0.2021,0.6108,4.9268,0.4555
TF-IDF,Lexical,✗,10,0.7509,0.3327,0.9834,0.6914,0.6039,4.9128,0.4419
TF-IDF + Rerank,Lexical,✓,10,0.7344,0.3308,0.9716,0.6933,0.6309,4.9457,0.5185
SBERT,Dense Semantic,✗,10,0.7104,0.7861,0.9645,0.2216,0.592,4.8936,0.3924
SBERT + Rerank,Dense Semantic,✓,10,0.7104,0.7839,0.9621,0.2241,0.6166,4.9421,0.4704
PhoBERT,Dense Semantic,✗,10,0.6957,0.9403,0.9455,0.057,0.6098,4.904,0.4505
PhoBERT + Rerank,Dense Semantic,✓,10,0.6524,0.9377,0.8839,0.0572,0.6714,4.963,0.6531
Hybrid-SBERT,Hybrid-Lex+Dense,✗,10,0.7597,0.8577,0.9716,0.2753,0.5966,4.893,0.4161
Hybrid-SBERT + Rerank,Hybrid-Lex+Dense,✓,10,0.7595,0.8572,0.9692,0.2758,0.6025,4.9136,0.431
Hybrid-PhoBERT,Hybrid-Lex+Dense,✗,10,0.7348,0.8652,0.9597,0.2796,0.6075,4.9047,0.4486
Hybrid-PhoBERT + Rerank,Hybrid-Lex+Dense,✓,10,0.7334,0.8648,0.955,0.2794,0.6134,4.9289,0.4654
