query_product,model,reranking,rank,recommended_product,similarity_score,final_score,rating,sold,trust_score,is_mall
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,no,1,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,0.3779,0.4564,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,no,2,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.3649,0.439,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,no,3,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.3622,0.4363,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,no,4,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.3547,0.4294,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,no,5,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",0.332,0.4065,5.0,141,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,yes,1,Đồng hồ đeo tay thông minh Samsung Galaxy Watch FE 2024,0.3779,0.4564,5.0,1000,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,yes,2,"Đồng hồ thông minh Samsung Galaxy Watch8 40mm LTE, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện",0.3649,0.439,5.0,38,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,yes,3,"Đồng hồ thông minh Samsung Galaxy Watch8, Galaxy AI, Đồng hồ mỏng nhất, Theo dõi sức khỏe toàn diện, 40mm & 44mm",0.3622,0.4363,5.0,49,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,yes,4,"Đồng hồ thông minh Samsung Galaxy Watch7, Galaxy AI, 44mm",0.3547,0.4294,5.0,174,0.7,1
"Đồng hồ Samsung Galaxy Fit3, Màn hình AMOLED 1,6"", Pin 13 ngày, Luyện ngủ ngon, Cảnh báo té ngã",TF-IDF,yes,5,"Đồng hồ thông minh Samsung Galaxy Watch Ultra, Galaxy AI, thiết kế từ Titan, 47mm, LTE",0.332,0.4065,5.0,141,0.7,1
